"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000032735",129.83464803245,-0.193284348687555,0.160587113252967,-1.20361058102515,0.228740127886906,0.998518340850117
"ENSMUSG00000045629",52.2822286940157,-0.226712577203101,0.268619917598409,-0.843990197115763,0.398674883502108,0.998518340850117
"ENSMUSG00000118370",0.197915164974247,-0.659029995156454,1.72589670500058,-0.381847878408361,0.702574202937183,0.998518340850117
"ENSMUSG00000045730",55.7760992153058,-0.0810445755287879,0.122968175253264,-0.659069514220807,0.509851131058304,0.998518340850117
"ENSMUSG00000054589",5.62435338886585,-0.184185400921245,0.320528539311765,-0.574630269481543,0.565541375986353,0.998518340850117
"ENSMUSG00000026322",77.5045954002581,-0.0153750886947882,0.229018884293355,-0.0671345891070447,0.94647455787357,0.998518340850117
"ENSMUSG00000042211",3199.86174978529,0.070471260865823,0.0568231622929795,1.2401854810979,0.214906797298557,0.998518340850117
"ENSMUSG00000044176",2.73378411728232,0.0512088873245413,0.427347592253146,0.11982959130423,0.904618140363031,0.998518340850117
"ENSMUSG00000073551",0.122634586797798,-0.178137344282908,2.8241999800832,-0.0630753294877014,0.949706519388418,0.998518340850117
"ENSMUSG00000041789",0.263636105936434,-0.370491810454704,1.69212711049238,-0.218950342534786,0.826688730073849,0.998518340850117
"ENSMUSG00000117671",0.412029978683861,0.204862307262835,1.32349824603032,0.154788499249845,0.876988058199832,0.998518340850117
"ENSMUSG00000071847",207.010243224223,-0.0763752682281397,0.204857732733967,-0.372821016853303,0.709281659600347,0.998518340850117
"ENSMUSG00000024581",1605.17639202963,0.0544566773187124,0.0344255706286563,1.58186709252052,0.113679914676351,0.998518340850117
"ENSMUSG00000041482",151.850824980874,-0.206537902071354,0.176003493595684,-1.17348751352523,0.240600361237145,0.998518340850117
"ENSMUSG00000117875",8.5759494570817,0.283433975089011,0.258522575799039,1.09636063393294,0.272920984256814,0.998518340850117
"ENSMUSG00000024583",2525.22377704163,0.11559669571077,0.0564252101216991,2.04867107205181,0.0404942897346542,0.998518340850117
"ENSMUSG00000040560",1221.73521692553,-0.0293405176917745,0.08905648188255,-0.329459653823621,0.74180828480461,0.998518340850117
"ENSMUSG00000117673",1.2723227984687,0.676330937682352,0.694510078713311,0.973824510848513,0.330143680732563,0.998518340850117
"ENSMUSG00000086128",0.813202254368613,-0.137800052419945,0.883912144183418,-0.155897906060843,0.876113495850569,0.998518340850117
"ENSMUSG00000056812",32.6238302344683,-0.131975556892689,0.311156840825094,-0.424144802803402,0.671460212822936,0.998518340850117
"ENSMUSG00000118264",0.357918437726004,-0.0799656201210365,1.42654523311057,-0.0560554395787872,0.955297642152575,0.998518340850117
"ENSMUSG00000045991",33.7753611757214,0.353551642712271,0.323163968451501,1.09403175238371,0.273941052440909,0.998518340850117
"ENSMUSG00000060096",1.03972802461017,-0.19320505828595,0.787962907945951,-0.245195625755524,0.806304963174344,0.998518340850117
"ENSMUSG00000024588",1950.58100513423,-0.0201593450604152,0.072192471832447,-0.279244421872733,0.780057255205282,0.998518340850117
"ENSMUSG00000024587",10051.1329696644,0.16827326258299,0.0785944559418799,2.1410322212476,0.0322714397542963,0.998518340850117
"ENSMUSG00000039529",16989.7551859958,0.118031913363889,0.0538494599039925,2.19188667025308,0.0283876908088609,0.998518340850117
"ENSMUSG00000117808",2.46194005281887,0.380047527500321,0.586144907955818,0.648384934069866,0.516736012253139,0.998518340850117
"ENSMUSG00000118133",32.2759513873918,0.144349903133239,0.169504737947247,0.851598043106992,0.394437226104144,0.998518340850117
"ENSMUSG00000118356",0.505284162632595,-0.400358344691464,1.02076882111363,-0.392212552353124,0.694901170228636,0.998518340850117
"ENSMUSG00000117766",0.316739749603214,0.455979096648696,1.44220139457381,0.316168808575755,0.751874381466985,0.998518340850117
"ENSMUSG00000114210",24.2210834948296,-0.0110849613244261,0.175424275498507,-0.0631894376814483,0.949615655481007,0.998518340850117
"ENSMUSG00000024589",4128.56827307032,-0.131684530222842,0.0885520743269821,-1.48708577663118,0.136992157614299,0.998518340850117
"ENSMUSG00000032845",4.38006892816287,-0.0810789207040324,0.425342708631693,-0.190620220021778,0.848823147380737,0.998518340850117
"ENSMUSG00000117721",0.224955913342522,-1.21088746227998,2.06382294221798,-0.586720613241487,0.557391361343746,0.998518340850117
"ENSMUSG00000032688",1169.65812546137,-0.0538044710465563,0.0629395404827765,-0.854859610252159,0.392628872879138,0.998518340850117
"ENSMUSG00000117860",1.15189252859216,-1.46324896724661,0.877247486507493,-1.66800018210609,0.0953156906325272,0.998518340850117
"ENSMUSG00000117992",9.28871823729917,0.19820942272386,0.297458418645968,0.666343294723712,0.505191698405943,0.998518340850117
"ENSMUSG00000042439",284.921227493528,-0.216678161511216,0.164067813609342,-1.32066221121922,0.186614019442775,0.998518340850117
"ENSMUSG00000118234",0.406600019368997,0.65654726507127,2.1269344715982,0.308682413040178,0.757563123294217,0.998518340850117
"ENSMUSG00000117775",28.0955308450965,0.00507746178475041,0.183726537119274,0.0276359739010056,0.977952489590872,0.998518340850117
"ENSMUSG00000046610",18.692586085245,0.191108989847878,0.222841705636633,0.857599744634433,0.391113516117572,0.998518340850117
"ENSMUSG00000024516",2477.35965463435,0.0998545814326662,0.0742638677406016,1.34459171694977,0.178757119707969,0.998518340850117
"ENSMUSG00000118170",0.282560061824518,-0.079900312660292,1.46450163631607,-0.0545580221141164,0.956490582418098,0.998518340850117
"ENSMUSG00000024517",39.6571986270591,-0.226713496182914,0.477063802291875,-0.47522678328088,0.634625338860666,0.998518340850117
"ENSMUSG00000024518",0.471195598154889,-0.204820996440291,1.02925453739487,-0.198999362158471,0.842263243539232,0.998518340850117
"ENSMUSG00000097907",0.161240622957965,1.19284576045132,3.02309798815644,0.394577273090226,0.693154888842026,0.998518340850117
"ENSMUSG00000024519",0.136165622862081,-0.707120534837359,3.02618920828379,-0.233666993756276,0.815243513598342,0.998518340850117
"ENSMUSG00000041891",3926.06601361185,0.0180518578606596,0.0738595437163387,0.244407925534832,0.806914904189028,0.998518340850117
"ENSMUSG00000046318",177.705076331632,-0.181763066543665,0.125796683037336,-1.4448955421958,0.148487228660937,0.998518340850117
"ENSMUSG00000117764",0.671562156632552,-0.750236341140852,0.875964112986309,-0.856469266284403,0.391738265575584,0.998518340850117
"ENSMUSG00000085055",1.62043185779789,-0.0874283613496529,0.737007529454226,-0.118626144042783,0.905571551649601,0.998518340850117
"ENSMUSG00000024521",3385.69117382724,0.299428050514794,0.163729449080478,1.82879776482736,0.067429909960461,0.998518340850117
"ENSMUSG00000117884",0.254405018933201,0.396955748269123,1.66003108621545,0.23912549082084,0.811008276243474,0.998518340850117
"ENSMUSG00000118376",5541.29418716788,-0.164582629504533,0.131921555845506,-1.24757950624291,0.212185087388572,0.998518340850117
"ENSMUSG00000047259",1.09590609869167,0.00171452724002717,0.735945937020761,0.00232969183438648,0.998141176535364,0.999966180222278
"ENSMUSG00000024524",193.172656601996,-0.0666824386621288,0.131181782926256,-0.508320874855119,0.611228332882016,0.998518340850117
"ENSMUSG00000095972",0.0693188625322379,0.062307772028754,3.02618920828379,0.0205895162993096,0.983573103475976,0.998518340850117
"ENSMUSG00000117757",4.27919323053718,0.642961702310287,0.503722201300263,1.27642121123628,0.20180666205923,0.998518340850117
"ENSMUSG00000109901",7621.25287314647,-0.0302042130251552,0.176198223062038,-0.171421779971757,0.863892130305542,0.998518340850117
"ENSMUSG00000062526",1072.42101585012,-0.0460998341858712,0.131232467163468,-0.351283757611961,0.725375479020595,0.998518340850117
"ENSMUSG00000024525",375.003101675848,0.000639634983366692,0.130554483098579,0.00489937203369506,0.996090882335668,0.999898786937922
"ENSMUSG00000046415",2.83699677612682,-0.476438617823615,0.521876308647729,-0.912933984411266,0.361277262557729,0.998518340850117
"ENSMUSG00000024526",24.9438578848015,0.416278575547502,0.372239068153994,1.11830974006008,0.263434728440971,0.998518340850117
"ENSMUSG00000001473",747.059334716092,-0.045251538204707,0.218094246422221,-0.207486162276385,0.835630198443552,0.998518340850117
"ENSMUSG00000024527",6733.44944280872,-0.0312508495391635,0.0626772203555286,-0.498599800085214,0.618061346013831,0.998518340850117
"ENSMUSG00000024530",12.2218632810979,0.0750392340706077,0.261372381101533,0.287097028975903,0.774038027000533,0.998518340850117
"ENSMUSG00000024533",324.606455544689,0.0315736126228692,0.133147369462322,0.237132830715097,0.812553743390745,0.998518340850117
"ENSMUSG00000091695",1.44544253047098,0.751467892602225,0.655652639621947,1.14613721838369,0.25173837991948,0.998518340850117
"ENSMUSG00000073542",304.2063237191,0.104440410562726,0.0788752711881018,1.32412109637832,0.185462830229727,0.998518340850117
"ENSMUSG00000024537",453.855443759173,0.0415177769750856,0.0752176436804657,0.551968593319121,0.58096987118763,0.998518340850117
"ENSMUSG00000024539",1173.60667837884,0.0874361390220282,0.0743391531857582,1.17617884082622,0.23952341792979,0.998518340850117
"ENSMUSG00000118134",1.8619964542737,-0.108255622109153,0.715006852605019,-0.151405013413144,0.879656234922731,0.998518340850117
"ENSMUSG00000097835",20.019295989252,-0.0047027010319424,0.176125734743741,-0.0267008171110526,0.978698361405443,0.998518340850117
"ENSMUSG00000079614",2579.25525877558,0.125981655125777,0.0639714628488254,1.96934147689403,0.0489138912686724,0.998518340850117
"ENSMUSG00000024542",520.513733418593,0.04258460040634,0.109700873877307,0.38818834254655,0.697876659394509,0.998518340850117
"ENSMUSG00000024544",222.103466644045,0.0228349027839565,0.235269318083144,0.0970585666248527,0.922679884499026,0.998518340850117
"ENSMUSG00000038121",1917.58619206489,0.0983330839830958,0.123619946257269,0.795446745935737,0.426353677082233,0.998518340850117
"ENSMUSG00000009535",784.460268802841,0.0940296440798772,0.0778995705730064,1.20706241880697,0.227408106520608,0.998518340850117
"ENSMUSG00000007480",0.91197023510992,0.204369274863198,1.03541151594514,0.197379758401321,0.843530368490706,0.998518340850117
"ENSMUSG00000045569",8.12174600725817,0.678218081535057,0.761120690088798,0.891078235510759,0.372887200156072,0.998518340850117
"ENSMUSG00000118317",0.103672959542687,0.062307772028754,3.02618920828379,0.0205895162993096,0.983573103475976,0.998518340850117
"ENSMUSG00000099300",0.090956438513618,-0.466674564284287,3.02618920828379,-0.15421195839534,0.877442613544716,0.998518340850117
"ENSMUSG00000110211",0.194526752405549,1.17398938148552,2.61859165539737,0.448328542965345,0.653916104036194,0.998518340850117
"ENSMUSG00000117889",0.132949525353112,-0.178138198524318,3.02618920828379,-0.0588655190616264,0.953059222208786,0.998518340850117
"ENSMUSG00000117970",4.09532413661268,0.166318122827786,0.454631350997376,0.36583073838378,0.714491381524488,0.998518340850117
"ENSMUSG00000053477",1329.73954070639,-0.0632452516411072,0.0797725546757991,-0.792819684641417,0.427882886072982,0.998518340850117
"ENSMUSG00000118028",2.50760892902949,-0.390851433229927,0.488587660707733,-0.799961735963139,0.423732967042616,0.998518340850117
"ENSMUSG00000038903",2406.53596238696,0.0860316530640645,0.18422520364908,0.466991765295814,0.640505769647485,0.998518340850117
"ENSMUSG00000084948",0.287814407500012,0.401563322368829,1.99687181901107,0.201096193829657,0.84062335808864,0.998518340850117
"ENSMUSG00000086824",13.121112938724,-0.417361153765165,0.365032627842148,-1.14335300992777,0.25289205396909,0.998518340850117
"ENSMUSG00000024511",2047.80738939046,0.108038873190883,0.113284272886816,0.953697017580074,0.340237030270526,0.998518340850117
"ENSMUSG00000044906",113.28101599662,-0.229154162727481,0.280166618845258,-0.817921005978402,0.413402294892334,0.998518340850117
"ENSMUSG00000079608",9.58668399599046,0.109180269811462,0.273263906331833,0.399541495534654,0.68949425474501,0.998518340850117
"ENSMUSG00000038425",121.975518436153,-0.0303329422100166,0.12741057431325,-0.238072407832026,0.811824934890853,0.998518340850117
"ENSMUSG00000024513",3476.53805537012,0.0451509011819367,0.0738848178240108,0.611098497792652,0.541134374269966,0.998518340850117
"ENSMUSG00000117810",0.634108234285752,0.755052574396608,1.08564551555927,0.695487213436922,0.48675002164713,0.998518340850117
"ENSMUSG00000060534",1.11222862221854,-0.315344699549811,0.759795566393514,-0.415038878216469,0.678113442480657,0.998518340850117
"ENSMUSG00000037253",3006.03214846619,0.283250921051581,0.171315681280406,1.65338583680476,0.0982523634808353,0.998518340850117
"ENSMUSG00000024515",3446.03760275502,0.0153601659777273,0.0624800211416744,0.245841241681048,0.8058051303132,0.998518340850117
"ENSMUSG00000036941",509.862232228894,-0.0276601267175275,0.0841592055022958,-0.328664304189195,0.742409437842302,0.998518340850117
"ENSMUSG00000024556",12572.7921339379,-0.107535279274518,0.12340392381813,-0.871408914298394,0.383530920186778,0.998518340850117
"ENSMUSG00000064036",154.957106455691,-0.151852306331774,0.162955804141737,-0.931861906555317,0.351407896429196,0.998518340850117
"ENSMUSG00000024558",1200.81444961402,-0.0355477112842278,0.0961855023573931,-0.369574524361731,0.711699535812201,0.998518340850117
"ENSMUSG00000090263",0.18464465432476,0.11040301284781,2.08972221634831,0.0528314299307845,0.957866218998167,0.998518340850117
